,cleaned_tweets,label
0,burn flag,0
1,plan kill petro dollar run manipulated western central banks controlled cabal brics replaced fiat currency petro dollar gold gold tangible asset value supposedly quantum financial system qfs line also backed gold kill cabal banking system setting mankind free slavery control,-1
2,difficult know whats going come summit next week first announced introduction goldback currency intended compete us said “ going goldlinked trade settlement currency ” course would also dedollarization effect theyre saying wont discussion new currency sort theyre wanting conduct trade local currencies trolling west talk time tell also saudi arabia admitted brics begin selling oil yuan depart petrodollar discussed speculated happens that…speculation time tell,-1
3,lot unpack brics would bring table officially declares trading currency inducts gamechanger countries big either resources oil fast growing economies “ new world order ” talks brics yet come core plan anything serious credibly accomplishment date new development bank funding development projects across global south see brics like eu nato dont common hegemonic design simply bunch eager investors wanting utilize newfound wealth capitalize lowbasehighgrowth developing economies expand clout current member list four big powers unless join align seriously brics vision things wont easy,1
4,nice feel way thats brics supped make feel like another important power reality brics doesnt even mechanism formally come decisions,1
5,seems like well ahead schedule already 50 percent gdp new members 2023,1
6,yeah precisely fully explained today family member people acknowledge important explained dont know single person past would aware information one social media unless go looking extraordinarily significant could effect everything feels like 01 people qanon weirdos traders actually know,1
7,watched lecture school predicted global south equal power control global north 2050 forget dude speaking brics introduction incubator meetings happening lets encourage every country seat table,1
8,think hope happens sooner rather later live eu fed us affecting daily lives us weaponised dollar basically force every country world bidding also politicians spend time brownnosing whitehouse improving lives people living,1
9,supposed happen week hold boys,0
10,brics countries cant agree anything would agree manage currency,-1
11,update,0
12,brics currency never successfully launched…,-1
13,discussed august next summit good phase public project brics pay take look httpsyoutubelwx2igleskehttpsyoutubelwx2igleske,1
14,dont think currency solution exchange andor sale commodities services think would best way forward,1
15,fiat currency,0
16,concrete difference make brics,0
17,concrete unlikely probably true g7 countries well,1
18,dedollarisation occur thousand cuts,-1
19,think conversation peoples heads even work banking firm something probably limited tools understand global economic banking system degree tell us max keiser gregory mannarino zerohedge putin david icke one would understanding countries economic system rough idea rough competency intentions economic actors within also understand additional fraudulent systems banking way things work actually add politics,-1
20,people think de single blow waiting happen think like river slowly eroding banks starts flowing process already happened wont reflected trade data countries west tectonic shift would happen side world china indonesia thailand india uae egypt malaysia russia etc trade either local currencies new brics currency brazil already started side world china wants argentina given geopolitical storm kicking africa would see several jump bandwagon currency would backed real value resources far credible “ say ” currently runs world new development bank brics already approved passing loans countries native brics currencies tanzania wanting loan import cargo trains would mind taking ₹ use ask indians send trains goes nigers plan nuclear plant rosatom russia could easily give loans rubles via bank make happen two easily worth 35billion combined imagine 50 countries replicating 100x valuation next 5 years multiple times,1
21,bro tldr,0
22,usa simply making noise last gasp big fu emerging world save already lost,-1
23,look america done past gain control things wanted admissions taken leaders countries inserted leaders favorable political views line america second believe america sit back happens anything going hold onto control long possible,1
24,httpsatthewatersedgeorg20230917thedollardethroned,0
25,couldnt care less,-1
26,delusional,0
27,well said,1
28,think us imports 97 lithium theyre trying get ev cars market spending power dollar reduces mean vital earth material imports httpswwwstatistacomstatistics280129usrareearthimportdistributionbyproducttextthe20united20states20imports20of2doxide20reo20equivalent,1
29,currency trading common buy brics currency convert back dollars price volatility settled euro yen gold bitcoin…,0
30,im scared thing imma go costco fill food pantry 3 months,-1
31,nothing going happen nonwestern countries trade might choose brics currency trade still one major currencies dominant one would limited impact americas ability print endless meaning defense budget might deflate bit much maybe half current 800 billion would still keep 1,1
32,im sure exactly want believe changing one currency setting commodity gold intl reserve currency instead us dollar us dollar unstable weaponised us us puts dollars circulation gold wont problem,1
33,believe countries like china india drop currency brics coin would monetary policy china propers artificially keeping currency low boost exports else new currency based basket currencies anyone participate swapping currencies,1
34,step 1 wait least 5 years currency comes step 2 apply become member brics ndb bank thats uae argentina uruguay bangladesh currency going replace renminbi rupee ruble rand real going supplement international trade valuation currency going likely basket resources stable hands single country since brics members also happen rivals competitors sits well emerging economies since wont become cartel like g7 eu euus,1
35,mainstream media controlled western interests see brics threat collective west report positive developments brics organization would improve world view brics create everworsening view west visit zerohedgecom rtcom search “ brics ” youll get plenty info,1
36,every time tried post get reddit bot even taken glad see someone posting,1
37,likely due little chance time brics actually adopted currently high hopes struggling countries,1
38,yes concerning,1
39,agenda dont want know thats theyre reporting things like arrest trump banning tik tok word wise buy much gold silver possible far crypto buy xrpxlm xdc possible u got 2 years max things get hand us,1
40,plan years whats bets way plan dollar losing,-1
41,anyone wants stop using us dollar send ill dispose properly,-1
42,country lack information news coverage definitely clear sign dont want chaos ensue silence defeaning cant hold proper conversation none peerscolleaguesfamily members know nothing,1
43,would cause chaos im interested topic scary,-1
44,phrasing way seems like agenda pushing china pursuing safer approach international trading seems less china thing lulas thing pushing argentina,1
45,wont succeed china fucking broke brazil corrupt going ass backwards current leadership africa alao corrupt also cant keep lights india country well russia heading china friends wont overtake dollar,-1
46,keep seeing people talking brics understanding countries like brazil china russia india trying devalue american money wanted buy products worth 1 country would pay 55 american dollarsi dont know 100 true though,1
47,hope transition peaceful possible although history tells us otherwise,1
48,uncharted territory one knows safe im stacking gold silver lil,1
49,brics currency wont happen,0
50,think fail miserably cause change often healthy,-1
51,brics,0
52,called r5,0
53,currency isnt actually going work implemented,0
54,brollar,0
55,bric coin,0
56,xrp,0
57,sarcastic answer df dollar fucker cc commodities currencycents,-1
58,brics currency exists premium dont mention trademarked brand name… ‘ silver brics imagehttpscdn11bigcommercecomsjube9x0sekimagesstencil1280x1280products235647newmasterbuilderpic177991635808019jpgc1 nonaffiliated link producthttpswwwmonarchpreciousmetalscom120oz999finesilverqty1201ozbuildingblockbarsthemasterbuilderutmsourcefindbullionpricescom,0
59,brick eg buy water cashier thatll 2 bricks,0
60,texas,0
61,things try… go back gold standard could dump 20 trillion economy cause hyperinflation else fails war,-1
62,expanded trade ties africa resume oil programs venezuela proven oil reserves country earth us cut sanctions strength relationship venezuela,1
63,nothing brics real threat coherent alliance indian chinese soldiers killing border china invading indian sovereign territory india china brics important members rivals allies,-1
64,think pushing brics beat sanctions plus could always go back creating amero north america,1
65,dont know us reaction minehttpsyoutubecomwatchvbzfyripw3wyfeatureshare8,0
66,restated hope brics fracture,1
67,video report based pramit pal chaudhuris piece geopolitical intelligence services gis,1
68,france germany confirm joining chinas aiib bank rival usled rothschild world bank march 17 2015 photo chinas president xi jinping 3rd r meets guests asian infrastructure investment bank launch ceremony great hall people beijing europeans defy us join chinaled bank finance ministries france germany confirmed theyll join chinas new asian infrastructure investment bank aiib italy expected soon joining rival usled world bank seen setback obama administration “ ministry finance confirmed france would join aiib bank ” french daily le figaro reported tuesday germanys finance ministry said joining bank bbc says although italy yet confirm earlier report financial times ft brics move imf brics bank aims rewrite rules development brics brazil russia india china south africa block rothschilds us eu computer generated ponzi bailout scheme money issuances decision comes britain rothschild country last week became first western country agree become founding member aiib ft reports uk government said decision countrys national interest got negative reaction united states new chinaled bank expected challenge washingtonbased world bank aka rothschild world bank aka imf us increasing pressure allies join institution us concern new investment bank might high standards governance environmental social safeguards british operative billionaire convicted felon george soros warns sovereign american citizens resisting nwo international banking system – also nicknamed “ open society ” httpswwwyoutubecomwatchvtojckjwqb0a real another backdoor nwo new bank expected challenge western dominance usled world bank imf global infrastructure projects experts believe create healthy competition “ messaging chinese consistently welcome investment infrastructure seek unmistakable evidence bank… takes starting point high watermark multilateral development banks done terms governance ” us regional assistant secretary state daniel russel said seoul financial times reports china cut microsoft google big dogs wall street starting get nervous coming america china iran execute bankers fraud charges nwo flushing old system nwo china nwo actually flushed china russia sovereign existence existing structures world governance un security council imf world bank adb essentially established 1945 united states europe predominant aiib one chinas recent efforts remake worlds multilateral institutions image partnership india russia brazil south africa china also set new development bank also known brics bank last year well development bank led shanghai cooperation organization currency reserve fund help countries cushion financial crises shocks washington lobbying allies join aiib obama administration official quoted anonymously financial times accused uk “ trend constant accommodation china best way engage rising power ” forbes meanwhile chinese officials say aiibs operation governance open transparent inclusive responsible “ draw experience multilateral development banks avoid detours costeffective efficient ” chinese foreign ministry spokesman hong lei cited saying xinhua news agency also added bank “ complement existing multilateral development banks support infrastructure economic development asia ” three major financial institutions – imf world bank asia development bank able cope tremendous amount work needs done investment advisor motley fool david kuo told rt “ shouldnt politicize something like infrastructure people right communication right uninterrupted power – parts infrastructure projects many countries crying ” kuo said hopes certain amount competition new chinaled investment bank kuo suggests germany france italy much offer asian people bring expertise well money south korea switzerland luxembourg also considering joining asian infrastructure investment bank financial times reported australian prime minister tony abbott said would make final decision aiib membership soon south korea countries discussions china possible participation chinas main regional rival japan said earlier month asian countries including japan march 31 decide becoming aiib founding members “ told us considering whether japan join know japans decision ” chinese finance minister lou jiwei said according xinhua news agency nearly 30 countries confirmed participation aiib aimed helping finance infrastructure projects across asia expected come year aiib formally launched chinese president xi jinping 2014 expected become tool broader chinese push growing international power economic significance httppoliticalvelcraftorg20150317francegermanyconfirmjoiningchinasaiibbankarivaltousledrothschildworldbank,1
69,brics going use xrp ripple,0
70,someone send thishttpimgurcomogrcmrl putin brazil chance snafu yet another space project,-1
71,idea criteria leaving joining brics still work progress none member countries released official papers full criteria,1
72,foreign policy podcasts yt channels bit articles follow mostly anticapitalist antiimperial still china skeptical ive hearing next winner argentinas general election likely rightleaning opposed brics membership,1
73,makes difference brics anyway,0
74,nutbag asshole take care country,1
75,makes sense people think would dumped overnight like without considering sheer volume trade overhaul channels required accommodate one parallel swift system without brics currency effect bilateral currency usage would top 5 trading countries one nonwestern countries china one partner others big enough usa eu prefer dollars trading,1
76,know english exactly brics wheelhouse but… great discussion,1
77,global elites using event take eyes ripplesec lawsuite cant see dates always coincide major events,0
78,future brics sounds nice wont work,1
79,goodit allow participant countries benefit others term business infrastructure standard economy employment opportunitiesand able make one decision benefit themby using single currency currency world cant compete,1
80,planned brics currency going complement collapse trade west shall continue remain us china uk india south africa hungary etc purported currency would replace nonwestern countries trade example uae trading india uganda trading china lets take iran example iran completely sanctioned us allies circumvent sanctions operate network companies third countries help processing payments using currencies mix barter depend currency valuations locally countries works stopgap measure inefficient resulting long payment turnaround garnering distrust trading parties even iran westward trade still stopped using us dollars globally accepted even countries brics currency enters reserve market iran would able normalize trade nonwestern countries like russia indonesia china india vietnam saudi arabia egypt kenya etc nonwestern trade value chain become immune us sanctions since wont using anymore also planned brics currency rely swift parallel system developed right led russia india china integration individual banking systems common mega system founding members already place awaiting participant integration would happen countries banned trading cuba venezuela uganda extent north korea basically country wants plan b case given politics played since 2022 safely assume would every country outside political alliances therefore planned brics currency becomes global plan b ensure disruption trade even us imposes sanctions someone reason also going replace brics members local currencies would tied valuation real gold minerals oil gas precious items would convertible participating countries based material valuations,1
81,im actually starting agree also seems brics talks much west issues,1
82,xi refusing speak obvious brics left summit weaker came,-1
83,talk cheap,0
84,look r5 project,0
85,brics relevance practical world used negotiating platform west eg saudis keep saying join brics us doesnt give want,1
86,mean foreign currency make money,0
87,doesnt matter us think matters brics announces next week anything actually able us sit idly hands hoping brics currency war waged albeit war currently fought financial battlefield dedollarization started picking steam brics sco bri eaeu coordinating efforts possibly combining form largest trade partnership world saudi arabia granted brics membership refuses honor petrodollar commitment switching petroyuan game changer indeed time tell…it always,-1
88,personal believe im resolute opinion itll universal currency amongst brics based commodities gold value moved digitally new era moving fast sure brics going new big player world order 2030 ass,1
89,chance imo crumbling currencies like rubbles rand would destroy value operate fixed exchange rate believe brics would better holding yuan rupees cut economic disasters like sa rus would anyone want park assets basket includes russia south africa gold backing selling point better buying gold need trust tyrants like putin xi,1
90,fiat currency backed gold,1
91,doea anyone full pdf china brics setting different kitchen really want read book isnt available country,1
92,piece president sa doesnt deserve chief guest past indias republic dayhe allowed race people attack peaceful successful people indian origin fault sherr jealousy hard working successful,1
93,brics nations kick washington south america pepe escobar rt 23 may 2015 image © reuters sergio moraes russias president vladimir putin r argentinas president cristina fernandez de kirchner arrive official photo session brics summit started april rash deals argentina russia president cristina kirchners visit moscow continues 53 billion investment bang chinese premier li keqiang visits brazil first stop yet another south american commercial offensive complete sweet metaphor li riding made china subway train ply new metro line rio de janeiro ahead 2016 olympics us nowhere little little yet inexorably brics members china smaller measure russia less restructuring commerce infrastructure across latin america countless chinese commercial missions plying shores nonstop much us world war ii key meeting january latin american business leaders president xi jinping promised channel 250 billion infrastructure projects next 10 years top infrastructure projects latin america financed chinese capital except mariel port cuba whose financing comes brazils bndes whose operation managed singaporean port operator psa international pte ltd construction nicaragua canal bigger wider deeper panamas started last year hong kong firm finished 2019 argentina part clinched 47 billion chinese deal construction two hydroelectric dams patagonia among 35 deals clinched lis visit brazil financing worth 7 billion brazils oil giant petrobras 22 brazilian embraer commercial jets sold tianjin airlines 13 billion raft agreements involving top iron ore producer vale chinese investment might go way overhauling brazils appalling network roads railways ports airports slightly better condition due upgrades prior world cup last year star whole show undoubtedly proposed 30 billion 3500 kilometerlong atlanticpacific megarailway slated run brazilian port santos peruvian pacific port ilo via amazonia logistically must brazil offering pacific gateway winners inevitably commodity producers iron ore soya beans exporting asia mostly china atlanticpacific railway may extremely complex project involving everything environmental land rights issues crucially preference chinese firms every time chinese banks deliberate extending lines credit time go usual suspects else worried watch geopolitics official brazilian policy since lula years attract top chinese investment china brazils top trading partner since 2009 used us trend started food production moves investment ports railways next stage technology transfer brics new development bank chinaled asian infrastructure investment bank aiib brazil key founding member definitely part picture problem massive tradecommerce brics interplay intersecting quite convoluted political process top three south american powers brazil argentina venezuela also happen mercosur members facing repeated destabilization attempts usual suspects routinely denounce foreign policy presidents dilma rousseff cristina kirchner nicolas maduro yearn good ol days dependent relationship washington different degrees complexity internal strife brasilia buenos aires caracas simultaneously facing plots institutional order usual suspects dont even try dissimulate near total diplomatic distance south american top three venezuela us sanctions considered threat us national security something even qualify bad joke kirchner relentless diplomatic assault mention us vulture funds targeting argentina brasilia relations practically frozen since september 2013 rousseff suspended visit washington response nsa spying petrobras personally leads us crucial geostrategic issue far unresolved nsa spying may leaked sensitive information purpose destabilize brazilian development agenda includes case petrobras exploration largest oil deposits presalt found far young 21st century unraveling crucial brazil secondbiggest economy americas us biggest latin american commercial financial power hosts former secondbiggest development bank world bndes overtaken brics bank also hosts biggest corporation latin america petrobras also one worlds top energy giants hardcore pressure petrobras comes essentially us shareholders act like proverbial vultures bent bleeding company profit allied lobbyists abhor petrobrass status priority explorer presalt deposits nutshell brazil last great sovereign frontier unbounded hegemonic domination americas empire chaos annoyed ride continental wave constantly evolving strategic partnership brics nations met washington circles incredulity fear virtually impossible washington real damage china much easier comparatively case brazil russia even though washingtons wrath targets essentially china dared deal deal former americas backyard chinese strategy much russian keep calm carry winwin profile xi jinping met maduro january else deals met cristina kirchner february speculators unleash another attack argentine peso theres lis visit south america needless say trade south america china continues boom argentina exports food soya beans brazil plus oil minerals timber colombia sells oil minerals peru chile copper iron venezuela sells oil bolivia minerals china exports mostly highvalueadded manufactured products key development watch immediate future transul project first proposed brics conference last year rio boils brazilchina strategic alliance linking brazilian industrial development partial outsourcing metals china chinese increase demand building less 30 megalopolises 2030 met brazilian sinobrazilian companies beijing finally given seal approval longterm big picture remains inexorable brics south american nations converge unasur union south american nations betting multipolar world order continental process independence easy see oceans away monroe doctrine httpwwwsottnetarticle296803bricsnationstokickwashingtonoutofsouthamerica,-1
94,makes brics different current regime comes embracing worst abuses human rights us israel france worst countries world human rights abuses right afghanistan iran saudi arabia difference whose human rights abused,-1
95,us invaded vietnam syria give freedom lol brazil support brics dont think wester countries interfere problems dont interfere,1
